"Name","Unique_ID__c","Entity_Name__c","Entity_Type__c","Task_Step__r.Unique_ID__c"
"ENT00000174","VRS_VFGE_COL_REPORT_EXTRACT_SOURCE","SELECT Footprint_Service_Detail__c.Name,
    Footprint_Service_Detail__c.Footprint_Service__r.HPLMN_Operator_Tadig__c,
    Footprint_Service_Detail__c.Footprint_Service__r.Open_Date_Formula__c,
    Footprint_Service_Detail__c.Footprint_Service__r.SO_Type__c,
    Footprint_Service_Detail__c.Footprint_Service__r.VPLMN_Operator_Tadig__c,
    Footprint_Service_Detail__c.Footprint_Service__r.Financial_Direction__c,
    Footprint_Service_Detail__c.Footprint_Service__r.Footprint__r.HPLMN_HUB_TADIG_Code__c,
    Footprint_Service_Detail__c.Footprint_Service__r.Footprint__r.VPLMN_HUB_TADIG_Code__c
FROM
    Footprint_Service_Detail__c
WHERE
((((Footprint_Service_Detail__c.Footprint_Service__r.Footprint__r.HPLMN__r.Force_Financial_Report__c = True AND Footprint_Service_Detail__c.Footprint_Service__r.Status__c in ( 'Pending','Progressing','Selected','Open','Migrate' )) OR (Footprint_Service_Detail__c.Footprint_Service__r.Footprint__r.HPLMN__r.Force_Financial_Report__c = False AND Footprint_Service_Detail__c.Footprint_Service__r.Status__c in('Open','Migrate','Progressing') AND Footprint_Service_Detail__c.Footprint_Service__r.Product__c in ('GSM','GPRS') )) AND Footprint_Service_Detail__c.Footprint_Service__r.Financial_Direction__c in ('Bilateral','Unilateral Outbound') AND Footprint_Service_Detail__c.Footprint_Service__r.Open_Date_Formula__c  != NULL ) AND ((Footprint_Service_Detail__c.Footprint_Service__r.HPLMN_Operator_Tadig__c not in ('IND20','IND21','IND22','IND23','IND24','INDT1','INDT3','INDT4','INDT5','INDT6','INDT7','INDT8','INDT9','INDTB','INDTG','INDTH','INDTK','INDTO','INDTP','INDTR') or Footprint_Service_Detail__c.Footprint_Service__r.VPLMN_Operator_Tadig__c != 'NLDLT' ) and ( Footprint_Service_Detail__c.Footprint_Service__r.VPLMN_Operator_Tadig__c not in ('IND20','IND21','IND22','IND23','IND24','INDT1','INDT3','INDT4','INDT5','INDT6','INDT7','INDT8','INDT9','INDTB','INDTG','INDTH','INDTK','INDTO','INDTP','INDTR') or Footprint_Service_Detail__c.Footprint_Service__r.HPLMN_Operator_Tadig__c != 'NLDLT' ))) AND Footprint_Service_Detail__c.Footprint_Service__r.Has_Test_Account__c = False","Source","VRS_VFGE_COL_REPORT_STEP_1"
"ENT00000175","VRS_VFGE_COL_REPORT_LOAD_TARGET","COL_report.csv","Target","VRS_VFGE_COL_REPORT_STEP_2"
"ENT00000176","VRS_VFGE_IOT_SYNC_2ND_PARTICIPANT_EXTRACT_SOURCE","SELECT Id FROM E2E_Sync_2nd_participant__c","Source","VRS_VFGE_IOT_SYNC_2ND_PARTICIPANT_STEP_1"
"ENT00000177","VRS_VFGE_IOT_SYNC_2ND_PARTICIPANT_LOAD_TARGET","del_2nd_participant.csv","Target","VRS_VFGE_IOT_SYNC_2ND_PARTICIPANT_STEP_2"
"ENT00000178","VRS_VFGE_IOT_SYNC_1ST_PARTICIPANT_EXTRACT_SOURCE","SELECT Id FROM E2E_Sync_1st_participant__c","Source","VRS_VFGE_IOT_SYNC_1ST_PARTICIPANT_STEP_1"
"ENT00000179","VRS_VFGE_IOT_SYNC_1ST_PARTICIPANT_LOAD_TARGET","del_1st_participant.csv","Target","VRS_VFGE_IOT_SYNC_1ST_PARTICIPANT_STEP_2"
"ENT00000180","VRS_VFGE_IOT_SYNC_DEAL_EXTRACT_SOURCE","SELECT Id FROM E2E_Sync_Deal__c WHERE Force_Ammend_Creation__c != TRUE OR Sync_Status__c != 'Error'","Source","VRS_VFGE_IOT_SYNC_DEAL_STEP_1"
"ENT00000181","VRS_VFGE_IOT_SYNC_DEAL_LOAD_TARGET","del_deal.csv","Target","VRS_VFGE_IOT_SYNC_DEAL_STEP_2"
"ENT00000182","VRS_VFGE_IOT_SYNC_PERIOD_EXTRACT_SOURCE","SELECT Id FROM E2E_Sync_Period__c","Source","VRS_VFGE_IOT_SYNC_PERIOD_STEP_1"
"ENT00000183","VRS_VFGE_IOT_SYNC_PERIOD_LOAD_TARGET","del_period.csv","Target","VRS_VFGE_IOT_SYNC_PERIOD_STEP_2"
