"Name","Unique_ID__c","Entity__r.Unique_ID__c","Field_Name__c","Order__c","Type__c"
"FLD00001347","VRS_VFGE_COL_REPORT_EXTRACT_NAME","VRS_VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Name","1.0","String"
"FLD00001348","VRS_VFGE_COL_REPORT_EXTRACT_HPLMN_OPERATOR_TADIG","VRS_VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Footprint_Service__r.HPLMN_Operator_Tadig__c","2.0","String"
"FLD00001349","VRS_VFGE_COL_REPORT_EXTRACT_OPEN_DATE","VRS_VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Footprint_Service__r.Open_date_Formula__c","3.0","Date"
"FLD00001350","VRS_VFGE_COL_REPORT_EXTRACT_SO_TYPE","VRS_VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Footprint_Service__r.SO_Type__c","4.0","String"
"FLD00001351","VRS_VFGE_COL_REPORT_EXTRACT_VPLMN_OPERATOR_TADIG","VRS_VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Footprint_Service__r.VPLMN_Operator_Tadig__c","5.0","String"
"FLD00001352","VRS_VFGE_COL_REPORT_EXTRACT_FINANCIAL_DIRECTION","VRS_VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Footprint_Service__r.Financial_Direction__c","6.0","String"
"FLD00001353","VRS_VFGE_COL_REPORT_EXTRACT_HPLMN_HUB_TADIG_CODE","VRS_VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Footprint_Service__r.Footprint__r.HPLMN_HUB_TADIG_Code__c","7.0","String"
"FLD00001354","VRS_VFGE_COL_REPORT_EXTRACT_VPLMN_HUB_TADIG_CODE","VRS_VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Footprint_Service__r.Footprint__r.VPLMN_HUB_TADIG_Code__c","8.0","String"
"FLD00001355","VRS_VFGE_COL_REPORT_LOAD_DIRECTION","VRS_VFGE_COL_REPORT_LOAD_TARGET","DIRECTION","1.0","String"
"FLD00001356","VRS_VFGE_COL_REPORT_LOAD_VPMN","VRS_VFGE_COL_REPORT_LOAD_TARGET","VPMN","2.0","String"
