"Name","Unique_ID__c","Entity_Name__c","Entity_Type__c","Task_Step__r.Unique_ID__c"
"ENT00000058","VFGE_COL_REPORT_EXTRACT_SOURCE","SELECT Footprint_Service_Detail__c.Name,
    Footprint_Service_Detail__c.Footprint_Service__r.HPLMN_Operator_Tadig__c,
    Footprint_Service_Detail__c.Footprint_Service__r.Open_Date_Formula__c,
    Footprint_Service_Detail__c.Footprint_Service__r.SO_Type__c,
    Footprint_Service_Detail__c.Footprint_Service__r.VPLMN_Operator_Tadig__c,
    Footprint_Service_Detail__c.Footprint_Service__r.Financial_Direction__c,
    Footprint_Service_Detail__c.Footprint_Service__r.Footprint__r.HPLMN_HUB_TADIG_Code__c,
    Footprint_Service_Detail__c.Footprint_Service__r.Footprint__r.VPLMN_HUB_TADIG_Code__c
FROM
    Footprint_Service_Detail__c
WHERE
((((Footprint_Service_Detail__c.Footprint_Service__r.Footprint__r.HPLMN__r.Force_Financial_Report__c = True AND Footprint_Service_Detail__c.Footprint_Service__r.Status__c in ( 'Pending','Progressing','Selected','Open','Migrate' )) OR (Footprint_Service_Detail__c.Footprint_Service__r.Footprint__r.HPLMN__r.Force_Financial_Report__c = False AND Footprint_Service_Detail__c.Footprint_Service__r.Status__c in('Open','Migrate','Progressing') AND Footprint_Service_Detail__c.Footprint_Service__r.Product__c in ('GSM','GPRS') )) AND Footprint_Service_Detail__c.Footprint_Service__r.Financial_Direction__c in ('Bilateral','Unilateral Outbound') AND Footprint_Service_Detail__c.Footprint_Service__r.Open_Date_Formula__c  != NULL ) AND ((Footprint_Service_Detail__c.Footprint_Service__r.HPLMN_Operator_Tadig__c not in ('IND20','IND21','IND22','IND23','IND24','INDT1','INDT3','INDT4','INDT5','INDT6','INDT7','INDT8','INDT9','INDTB','INDTG','INDTH','INDTK','INDTO','INDTP','INDTR') or Footprint_Service_Detail__c.Footprint_Service__r.VPLMN_Operator_Tadig__c != 'NLDLT' ) and ( Footprint_Service_Detail__c.Footprint_Service__r.VPLMN_Operator_Tadig__c not in ('IND20','IND21','IND22','IND23','IND24','INDT1','INDT3','INDT4','INDT5','INDT6','INDT7','INDT8','INDT9','INDTB','INDTG','INDTH','INDTK','INDTO','INDTP','INDTR') or Footprint_Service_Detail__c.Footprint_Service__r.HPLMN_Operator_Tadig__c != 'NLDLT' ))) AND Footprint_Service_Detail__c.Footprint_Service__r.Has_Test_Account__c = False","Source","VFGE_COL_REPORT_STEP_1"
"ENT00000059","VFGE_COL_REPORT_LOAD_TARGET","COL_report.csv","Target","VFGE_COL_REPORT_STEP_2"
"ENT00000060","VFGE_IOT_SYNC_2ND_PARTICIPANT_EXTRACT_SOURCE","SELECT Id FROM E2E_Sync_2nd_participant__c","Source","VFGE_IOT_SYNC_2ND_PARTICIPANT_STEP_1"
"ENT00000061","VFGE_IOT_SYNC_2ND_PARTICIPANT_LOAD_TARGET","del_2nd_participant.csv","Target","VFGE_IOT_SYNC_2ND_PARTICIPANT_STEP_2"
"ENT00000062","VFGE_IOT_SYNC_1ST_PARTICIPANT_EXTRACT_SOURCE","SELECT Id FROM E2E_Sync_1st_participant__c","Source","VFGE_IOT_SYNC_1ST_PARTICIPANT_STEP_1"
"ENT00000063","VFGE_IOT_SYNC_1ST_PARTICIPANT_LOAD_TARGET","del_1st_participant.csv","Target","VFGE_IOT_SYNC_1ST_PARTICIPANT_STEP_2"
"ENT00000064","VFGE_IOT_SYNC_DEAL_EXTRACT_SOURCE","SELECT Id FROM E2E_Sync_Deal__c WHERE Force_Ammend_Creation__c != TRUE OR Sync_Status__c != 'Error'","Source","VFGE_IOT_SYNC_DEAL_STEP_1"
"ENT00000065","VFGE_IOT_SYNC_DEAL_LOAD_TARGET","del_deal.csv","Target","VFGE_IOT_SYNC_DEAL_STEP_2"
"ENT00000066","VFGE_IOT_SYNC_PERIOD_EXTRACT_SOURCE","SELECT Id FROM E2E_Sync_Period__c","Source","VFGE_IOT_SYNC_PERIOD_STEP_1"
"ENT00000067","VFGE_IOT_SYNC_PERIOD_LOAD_TARGET","del_period.csv","Target","VFGE_IOT_SYNC_PERIOD_STEP_2"
"ENT00000068","VFGE_IOT_SYNC_HISTORICAL_EXTRACT_SOURCE","SELECT Id, Error_Message__c FROM E2E_Sync_Historical__c WHERE Status__c NOT IN ('Finished','Finished in Error')","Source","VFGE_IOT_SYNC_HISTORICAL_STEP_1"
"ENT00000069","VFGE_IOT_SYNC_HISTORICAL_LOAD_TARGET","del_historical.csv","Target","VFGE_IOT_SYNC_HISTORICAL_STEP_2"
"ENT00000070","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_EXTRACT_S","del_historical.csv","Source","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_STEP_1"
"ENT00000071","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_T","E2E_Sync_Historical__c","Target","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_STEP_2"
"ENT00000072","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_EXTRACT_S","IOT_Sync_new_process.csv","Source","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_1"
"ENT00000073","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_T","E2E_Sync_Historical__c","Target","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_3"
"ENT00000074","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_FILTER","filter","Target","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_2"
"ENT00000075","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_T","cfg_e2e_sync_historical.csv","Target","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_STEP_2"
