Name,Unique_ID__c,Entity__r.Unique_ID__c,Field_Name__c,Order__c,Type__c
FLD00000449,VFGE_COL_REPORT_EXTRACT_NAME,VFGE_COL_REPORT_EXTRACT_SOURCE,Footprint_Service_Detail__c.Name,1,String
FLD00000450,VFGE_COL_REPORT_EXTRACT_HPLMN_OPERATOR_TADIG,VFGE_COL_REPORT_EXTRACT_SOURCE,Footprint_Service_Detail__c.Footprint_Service__r.HPLMN_Operator_Tadig__c,2,String
FLD00000451,VFGE_COL_REPORT_EXTRACT_OPEN_DATE,VFGE_COL_REPORT_EXTRACT_SOURCE,Footprint_Service_Detail__c.Footprint_Service__r.Open_date_Formula__c,3,Date
FLD00000452,VFGE_COL_REPORT_EXTRACT_SO_TYPE,VFGE_COL_REPORT_EXTRACT_SOURCE,Footprint_Service_Detail__c.Footprint_Service__r.SO_Type__c,4,String
FLD00000453,VFGE_COL_REPORT_EXTRACT_VPLMN_OPERATOR_TADIG,VFGE_COL_REPORT_EXTRACT_SOURCE,Footprint_Service_Detail__c.Footprint_Service__r.VPLMN_Operator_Tadig__c,5,String
FLD00000454,VFGE_COL_REPORT_EXTRACT_FINANCIAL_DIRECTION,VFGE_COL_REPORT_EXTRACT_SOURCE,Footprint_Service_Detail__c.Footprint_Service__r.Financial_Direction__c,6,String
FLD00000455,VFGE_COL_REPORT_EXTRACT_HPLMN_HUB_TADIG_CODE,VFGE_COL_REPORT_EXTRACT_SOURCE,Footprint_Service_Detail__c.Footprint_Service__r.Footprint__r.HPLMN_HUB_TADIG_Code__c,7,String
FLD00000456,VFGE_COL_REPORT_EXTRACT_VPLMN_HUB_TADIG_CODE,VFGE_COL_REPORT_EXTRACT_SOURCE,Footprint_Service_Detail__c.Footprint_Service__r.Footprint__r.VPLMN_HUB_TADIG_Code__c,8,String
FLD00000457,VFGE_COL_REPORT_LOAD_DIRECTION,VFGE_COL_REPORT_LOAD_TARGET,DIRECTION,1,String
FLD00000458,VFGE_COL_REPORT_LOAD_VPMN,VFGE_COL_REPORT_LOAD_TARGET,VPMN,2,String
FLD00000459,VFGE_COL_REPORT_LOAD_VPMN_HUB,VFGE_COL_REPORT_LOAD_TARGET,VPMN_HUB,3,String
FLD00000460,VFGE_COL_REPORT_LOAD_HPMN,VFGE_COL_REPORT_LOAD_TARGET,HPMN,4,String
FLD00000461,VFGE_COL_REPORT_LOAD_HPMN_HUB,VFGE_COL_REPORT_LOAD_TARGET,HPMN_HUB,5,String
FLD00000462,VFGE_COL_REPORT_LOAD_CONNECTION_CALL_TYPE,VFGE_COL_REPORT_LOAD_TARGET,CONNECTION_CALL_TYPE,6,String
FLD00000463,VFGE_COL_REPORT_LOAD_STATUS,VFGE_COL_REPORT_LOAD_TARGET,STATUS,7,String
FLD00000464,VFGE_COL_REPORT_LOAD_DATE,VFGE_COL_REPORT_LOAD_TARGET,DATE,8,String
FLD00000465,VFGE_COL_REPORT_LOAD_SERVICE,VFGE_COL_REPORT_LOAD_TARGET,SERVICE,9,String
FLD00000466,VFGE_IOT_SYNC_2ND_PARTICIPANT_EXTRACT_ID,VFGE_IOT_SYNC_2ND_PARTICIPANT_EXTRACT_SOURCE,Id,1,String
FLD00000467,VFGE_IOT_SYNC_2ND_PARTICIPANT_LOAD_ID,VFGE_IOT_SYNC_2ND_PARTICIPANT_LOAD_TARGET,Id,1,String
FLD00000468,VFGE_IOT_SYNC_1SF_PARTICIPANT_EXTRACT_ID,VFGE_IOT_SYNC_1ST_PARTICIPANT_EXTRACT_SOURCE,Id,1,String
FLD00000469,VFGE_IOT_SYNC_1ST_PARTICIPANT_LOAD_ID,VFGE_IOT_SYNC_1ST_PARTICIPANT_LOAD_TARGET,Id,1,String
FLD00000470,VFGE_IOT_SYNC_DEAL_EXTRACT_ID,VFGE_IOT_SYNC_DEAL_EXTRACT_SOURCE,Id,1,String
FLD00000471,VFGE_IOT_SYNC_DEAL_LOAD_ID,VFGE_IOT_SYNC_DEAL_LOAD_TARGET,Id,1,String
FLD00000472,VFGE_IOT_SYNC_PERIOD_LOAD_ID,VFGE_IOT_SYNC_PERIOD_LOAD_TARGET,Id,1,String
FLD00000473,VFGE_IOT_SYNC_HISTORICAL_EXTRACT_ID,VFGE_IOT_SYNC_HISTORICAL_EXTRACT_SOURCE,Id,1,String
FLD00000474,VFGE_IOT_SYNC_HISTORICAL_LOAD_ID,VFGE_IOT_SYNC_HISTORICAL_LOAD_TARGET,Id,1,String
FLD00000475,VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_EXTRACT_ID,VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_EXTRACT_S,Id,1,String
FLD00000476,VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_ID,VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_T,Id,1,String
FLD00000477,VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_STATUS,VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_T,Status__c,2,String
FLD00000478,VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_END_PRO,VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_T,End_Process_Date__c,4,Date
FLD00000479,VFGE_IOT_SYNC_HISTORICAL_EXTRACT_ERROR_MESSAGE,VFGE_IOT_SYNC_HISTORICAL_EXTRACT_SOURCE,Error_Message__c,2,String
FLD00000480,VFGE_IOT_SYNC_HISTORICAL_LOAD_ERROR_MESSAGE,VFGE_IOT_SYNC_HISTORICAL_LOAD_TARGET,Error_Message__c,2,String
FLD00000481,VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_EXTRACT_ERRO,VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_EXTRACT_S,Error_Message__c,2,String
