"Name","Unique_ID__c","Order__c","Target_Field__c","Task_Step__r.Unique_ID__c","Transformation__c"
"MAP00000142","VFGE_COL_REPORT_LOAD_DIRECTION","1.0","DIRECTION","VFGE_COL_REPORT_STEP_2","util:decode(
  FOOTPRINT_SERVICE_DETAIL__C.FOOTPRINT_SERVICE__R.FINANCIAL_DIRECTION__C,
  'Unilateral Outbound',
  'UniLat',
  'Bilateral',
  'BiLat',
  'Error'
)"
"MAP00000143","VFGE_COL_REPORT_LOAD_VPMN","2.0","VPMN","VFGE_COL_REPORT_STEP_2","FOOTPRINT_SERVICE_DETAIL__C.FOOTPRINT_SERVICE__R.VPLMN_OPERATOR_TADIG__C"
"MAP00000144","VFGE_COL_REPORT_LOAD_VPMN_HUB","3.0","VPMN_HUB","VFGE_COL_REPORT_STEP_2","FOOTPRINT_SERVICE_DETAIL__C.FOOTPRINT_SERVICE__R.FOOTPRINT__R.VPLMN_HUB_TADIG_CODE__C"
"MAP00000145","VFGE_COL_REPORT_LOAD_HPMN","4.0","HPMN","VFGE_COL_REPORT_STEP_2","FOOTPRINT_SERVICE_DETAIL__C.FOOTPRINT_SERVICE__R.HPLMN_OPERATOR_TADIG__C"
"MAP00000146","VFGE_COL_REPORT_LOAD_HPMN_HUB","5.0","HPMN_HUB","VFGE_COL_REPORT_STEP_2","FOOTPRINT_SERVICE_DETAIL__C.FOOTPRINT_SERVICE__R.FOOTPRINT__R.HPLMN_HUB_TADIG_CODE__C"
"MAP00000147","VFGE_COL_REPORT_LOAD_CONNECTION_CALL_TYPE","6.0","CONNECTION_CALL_TYPE","VFGE_COL_REPORT_STEP_2","FOOTPRINT_SERVICE_DETAIL__C.NAME"
"MAP00000148","VFGE_COL_REPORT_LOAD_STATUS","7.0","STATUS","VFGE_COL_REPORT_STEP_2","FOOTPRINT_SERVICE_DETAIL__C.FOOTPRINT_SERVICE__R.SO_TYPE__C"
"MAP00000149","VFGE_COL_REPORT_LOAD_DATE","8.0","DATE","VFGE_COL_REPORT_STEP_2","util:dateFormat(FOOTPRINT_SERVICE_DETAIL__C.FOOTPRINT_SERVICE__R.OPEN_DATE_FORMULA__C, ""yyyy-MM-dd"")"
"MAP00000150","VFGE_COL_REPORT_LOAD_SERVICE","9.0","SERVICE","VFGE_COL_REPORT_STEP_2","""Connectivity"""
"MAP00000151","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_STATUS","1.0","Status__c","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_STEP_2","""Finished in Error"""
"MAP00000152","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_ERROR_M","2.0","Error_Message__c","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_STEP_2","util:iif(
  util:isNull(ERROR_MESSAGE__C),
  'New SIP process started.',
  ERROR_MESSAGE__C
)"
"MAP00000153","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_END_PRO","3.0","End_Process_Date__c","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_STEP_2","util:getCurrentTimestamp()"
"MAP00000154","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_STATU","1.0","Status__c","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_3","""Importing CSVs"""
"MAP00000155","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_START","1.0","Start_Process_Date__c","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_3","util:getCurrentTimestamp()"
"MAP00000156","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_FTYPE","1.0","filterType","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_2","""Discard"""
"MAP00000157","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_FILTE","2.0","filter","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_2","util:isBlank(ID)"
"MAP00000158","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_ERROR_ME","1.0","Error Message","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_STEP_2","ERROR_MESSAGE__C"
"MAP00000159","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_DATE_UPL","2.0","Data Uploaded to SFDC","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_STEP_2","DATA_UPLOADED_TO_SFDC__C"
"MAP00000160","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_END_UPLO","3.0","End Upload Data Date","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_STEP_2","END_UPLOAD_DATA_DATE__C"
"MAP00000161","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_STATUS","1.0","Status__c","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_STEP_2","""Importing CSVs"""
"MAP00000162","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_ERRORM","2.0","Error_Message__c","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_STEP_2","""Problem in CSV structure files. Process aborted."""
"MAP00000163","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_EPD","3.0","End_Process_Date__c","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_STEP_2","util:getCurrentTimestamp()"
"MAP00000164","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_ID","1.0","ID","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","'1'"
"MAP00000165","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_NAME","2.0","NAME","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","DEAL_INDEX"
"MAP00000166","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_CONTRACT_CATEGORY__C","3.0","CONTRACT_CATEGORY__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","""IOT"""
"MAP00000167","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_CONTRACT_NAME__C","4.0","CONTRACT_NAME__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","NAME"
"MAP00000168","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_DEAL_STATUS__C","5.0","DEAL_STATUS__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","DEAL_STATUS"
"MAP00000169","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_INITIAL_CONTACT_COMMENTS__C","6.0","INITIAL_CONTACT_COMMENTS__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","NOTES"
"MAP00000170","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_NEGOTIATION_TEAM__C","7.0","NEGOTIATION_TEAM__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","NEGOTIATION_TEAM"
"MAP00000171","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_CONTRACT_MANAGER__C","8.0","CONTRACT_MANAGER__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","CONTRACT_MANAGER"
"MAP00000172","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_CAS_COMMENTS__C","9.0","CAS_COMMENTS__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","CSS_COMMENTS"
"MAP00000173","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_LEGAL_SRC__C","10.0","LEGAL_SRC__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","LEGAL_OWNER"
"MAP00000174","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_FINANCE_SRC__C","11.0","FINANCE_SRC__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","FINANCE_OWNER"
"MAP00000175","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_TAX_SRC__C","12.0","TAX_SRC__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","TAX_OWNER"
"MAP00000176","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_CAS_DATE__C","13.0","CAS_DATE__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","util:dateParse(CSS_SIGNED_DATE, ""yyyy-MM-dd HH:mm:ss.S"")"
"MAP00000177","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_PLANNED_NEGOT_START_DATE__C","14.0","PLANNED_NEGOT_START_DATE__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","util:dateParse(PLANNED_NEGOTIATION_START_DATE, ""yyyy-MM-dd HH:mm:ss.S"")"
"MAP00000178","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_PLANNED_NEGOT_END_DATE__C","15.0","PLANNED_NEGOT_END_DATE__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","util:dateParse(PLANNED_NEGOTIATION_END_DATE, ""yyyy-MM-dd HH:mm:ss.S"")"
"MAP00000179","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_ACTUAL_NEGOT_START_DATE__C","16.0","ACTUAL_NEGOT_START_DATE__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","util:dateParse(ACTUAL_NEGOTIATION_START_DATE, ""yyyy-MM-dd HH:mm:ss.S"")"
"MAP00000180","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_ACTUAL_NEGOT_END_DATE__C","17.0","ACTUAL_NEGOT_END_DATE__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","util:dateParse(ACTUAL_NEGOTIATION_FINISH_DATE, ""yyyy-MM-dd HH:mm:ss.S"")"
"MAP00000181","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_CONTACT_PERSON_SRC","18.0","CONTACT_PERSON_SRC","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","CONTACT_PERSON"
"MAP00000182","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_TELEFONE_NUMBER_SRC","19.0","TELEFONE_NUMBER_SRC","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","TEL_NO"
"MAP00000183","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_EMAIL_ADDRESS_SRC","20.0","EMAIL_ADDRESS_SRC","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","EMAIL_ADDRESS"
"MAP00000184","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_IS_FA","21.0","IS_FA","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","false"
"MAP00000185","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_AUTO_RENEW","22.0","AUTO_RENEW","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","util:decode(AUTO_RENEWAL, '1', true, false)"
"MAP00000186","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TRANSFORM_VALIDATION_STATUS","23.0","VALIDATION_STATUS","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","VALIDATION_STATUS"
"MAP00000187","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS_LOAD_TARGET_TRANSFORMATION_ACTIVE","1.0","ACTIVE","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS_STEP_2","""1"""
