"Name","Unique_ID__c","Step_Type__c","Order__c","Task__r.Unique_ID__c","Source_Connection__r.Unique_ID__c","Target_Connection__r.Unique_ID__c","Operation__c","Operation_Key_Field_List__c","Description__c","Truncate_Target__c","Batch_Size__c","Field_Separator__c"
"STP00000174","VRS_VFGE_COL_REPORT_STEP_1","Extract","1.0","VRS_VFGE_COL_REPORT","VRS_SALESFORCE",,,,,"false",,
"STP00000175","VRS_VFGE_COL_REPORT_STEP_2","Load","2.0","VRS_VFGE_COL_REPORT",,"VRS_CSV_VFGE_UTF8","Insert",,,"true",,
"STP00000176","VRS_VFGE_IOT_SYNC_2ND_PARTICIPANT_STEP_1","Extract","1.0","VRS_VFGE_IOT_SYNC_2ND_PARTICIPANT","VRS_SALESFORCE",,,,,"false",,
"STP00000177","VRS_VFGE_IOT_SYNC_2ND_PARTICIPANT_STEP_2","Load","2.0","VRS_VFGE_IOT_SYNC_2ND_PARTICIPANT",,"VRS_CSV_VFGE_TMP","Insert",,,"true",,
"STP00000178","VRS_VFGE_IOT_SYNC_1ST_PARTICIPANT_STEP_1","Extract","1.0","VRS_VFGE_IOT_SYNC_1ST_PARTICIPANT","VRS_SALESFORCE",,,,,"false",,
"STP00000179","VRS_VFGE_IOT_SYNC_1ST_PARTICIPANT_STEP_2","Load","2.0","VRS_VFGE_IOT_SYNC_1ST_PARTICIPANT",,"VRS_CSV_VFGE_TMP","Insert",,,"true",,
"STP00000180","VRS_VFGE_IOT_SYNC_DEAL_STEP_1","Extract","1.0","VRS_VFGE_IOT_SYNC_DEAL","VRS_SALESFORCE",,,,,"false",,
"STP00000181","VRS_VFGE_IOT_SYNC_DEAL_STEP_2","Load","2.0","VRS_VFGE_IOT_SYNC_DEAL",,"VRS_CSV_VFGE_TMP","Insert",,,"true",,
"STP00000182","VRS_VFGE_IOT_SYNC_PERIOD_STEP_1","Extract","1.0","VRS_VFGE_IOT_SYNC_PERIOD","VRS_SALESFORCE",,,,,"false",,
"STP00000183","VRS_VFGE_IOT_SYNC_PERIOD_STEP_2","Load","2.0","VRS_VFGE_IOT_SYNC_PERIOD",,"VRS_CSV_VFGE_TMP","Insert",,,"true",,
"STP00000184","VRS_VFGE_IOT_SYNC_HISTORICAL_STEP_1","Extract","1.0","VRS_VFGE_IOT_SYNC_HISTORICAL","VRS_SALESFORCE",,,,,"false",,
"STP00000185","VRS_VFGE_IOT_SYNC_HISTORICAL_STEP_2","Load","2.0","VRS_VFGE_IOT_SYNC_HISTORICAL",,"VRS_CSV_VFGE_TMP","Insert",,,"true",,
"STP00000186","VRS_VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_STEP_1","Extract","1.0","VRS_VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES","VRS_CSV_VFGE_TMP",,,,,"false",,
"STP00000187","VRS_VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_STEP_2","Load","2.0","VRS_VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES",,"VRS_SALESFORCE","Update","Id",,"false",,
"STP00000188","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_1","Extract","1.0","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS","VRS_CSV_VFGE_INBOX",,,,,"false",,
"STP00000189","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_3","Load","3.0","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS",,"VRS_SALESFORCE","Insert",,,"false",,
"STP00000190","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_2","Filter","2.0","VRS_VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS",,,,,"Discard records where ID is blank.","false",,
"STP00000191","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_STEP_2","Load","2.0","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID",,"VRS_CSV_VFGE_TMP","Insert",,,"true",,
"STP00000192","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_STEP_1","Extract","1.0","VRS_VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID","VRS_SALESFORCE",,,,,"false",,
"STP00000193","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_STEP_1","Extract","1.0","VRS_VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES","VRS_CSV_VFGE_TMP",,,,,"false",,
