"Name","Unique_ID__c","Task_Name__c","Task_Flow__r.Unique_ID__c","Schedule__r.Unique_ID__c","Abort_On_Failure__c","Description__c","Failure_Emails__c","Last_Scheduled_Date__c","Max_Retry_Count__C","Order__c","PostProcessing_Script__c","PreProcessing_Script__c","Retry_If_Fail__c","Success_Emails__c","Warning_Emails__c"
"TSK00000359","VFGE_COL_REPORT","VFGE_COL_Report",,,"true","Simulates Connected Operators Report",,,,"1.0","/Users/aosantos/vrs.sip/salesforce/scripts/colReportAfter.sh","/Users/aosantos/vrs.sip/salesforce/scripts/colReportBefore.sh","true",,
"TSK00000360","VFGE_IOT_SYNC_2ND_PARTICIPANT","VFGE_IOT_Sync_2nd_Participant","VFGE_IOT_SYNC",,"true","Extract the 2nd Participant IDs from SFDC.",,,,"1.0",,,"false",,
"TSK00000361","VFGE_IOT_SYNC_1ST_PARTICIPANT","VFGE_IOT_Sync_1st_Participant","VFGE_IOT_SYNC",,"true","Extract the 1st Participant IDs from SFDC.",,,,"2.0",,,"false",,
"TSK00000362","VFGE_IOT_SYNC_DEAL","VFGE_IOT_Sync_Deal","VFGE_IOT_SYNC",,"true",,,,,"3.0",,,"false",,
"TSK00000363","VFGE_IOT_SYNC_PERIOD","VFGE_IOT_Sync_Period","VFGE_IOT_SYNC",,"true",,,,,"4.0",,,"false",,
"TSK00000364","VFGE_IOT_SYNC_HISTORICAL","VFGE_IOT_Sync_Historical","VFGE_IOT_SYNC",,"true",,,,,"5.0",,,"false",,
"TSK00000365","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES","VFGE_IOT_Sync_History_Close_Open_Ones","VFGE_IOT_SYNC",,"true",,,,,"6.0",,,"false",,
"TSK00000366","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS","VFGE_IOT_Sync_History_Start_New_Process","VFGE_IOT_SYNC",,"true",,,,,"7.0",,,"false",,
"TSK00000367","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID","VFGE_IOT_Sync_Get_Current_Process_Id","VFGE_IOT_SYNC",,"true",,,,,"8.0",,,"false",,
"TSK00000368","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES","VFGE_IOT_Sync_History_Import_CSV_Files","VFGE_IOT_SYNC",,"true",,,,,"9.0",,,"false",,
"TSK00000369","VFGE_IOT_SYNC_DELETE_OLD_DATA","VFGE_IOT_Sync_Delete_Old_Data","VFGE_IOT_SYNC",,"true",,,,,"10.0","/Users/aosantos/vrs.uat/salesforce/scripts/chooseProcessingFiles.sh",,"false",,
"TSK00000370","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL","VFGE_IOT_Sync_Import_Flat_Deal","VFGE_IOT_SYNC",,"true",,,,,"11.0",,,"false",,
"TSK00000371","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS","VFGE_IOT_Sync_Import_Flat_discount_periods","VFGE_IOT_SYNC",,"true",,,,,"12.0",,,"false",,
