"Name","Unique_ID__c","Step_Type__c","Order__c","Task__r.Unique_ID__c","Source_Connection__r.Unique_ID__c","Target_Connection__r.Unique_ID__c","Operation__c","Operation_Key_Field_List__c","Description__c","Truncate_Target__c","Batch_Size__c"
"STP00000603","VFGE_COL_REPORT_STEP_1","Extract","1.0","VFGE_COL_REPORT","SALESFORCE_VRS",,,,,"false",
"STP00000604","VFGE_COL_REPORT_STEP_2","Load","2.0","VFGE_COL_REPORT",,"CSV_VFGE_UTF8","Insert",,,"true",
"STP00000605","VFGE_IOT_SYNC_2ND_PARTICIPANT_STEP_1","Extract","1.0","VFGE_IOT_SYNC_2ND_PARTICIPANT","SALESFORCE_VRS",,,,,"false",
"STP00000606","VFGE_IOT_SYNC_2ND_PARTICIPANT_STEP_2","Load","2.0","VFGE_IOT_SYNC_2ND_PARTICIPANT",,"CSV_VFGE_TMP","Insert",,,"true",
"STP00000607","VFGE_IOT_SYNC_1ST_PARTICIPANT_STEP_1","Extract","1.0","VFGE_IOT_SYNC_1ST_PARTICIPANT","SALESFORCE_VRS",,,,,"false",
"STP00000608","VFGE_IOT_SYNC_1ST_PARTICIPANT_STEP_2","Load","2.0","VFGE_IOT_SYNC_1ST_PARTICIPANT",,"CSV_VFGE_TMP","Insert",,,"true",
"STP00000609","VFGE_IOT_SYNC_DEAL_STEP_1","Extract","1.0","VFGE_IOT_SYNC_DEAL","SALESFORCE_VRS",,,,,"false",
"STP00000610","VFGE_IOT_SYNC_DEAL_STEP_2","Load","2.0","VFGE_IOT_SYNC_DEAL",,"CSV_VFGE_TMP","Insert",,,"true",
"STP00000611","VFGE_IOT_SYNC_PERIOD_STEP_1","Extract","1.0","VFGE_IOT_SYNC_PERIOD","SALESFORCE_VRS",,,,,"false",
"STP00000612","VFGE_IOT_SYNC_PERIOD_STEP_2","Load","2.0","VFGE_IOT_SYNC_PERIOD",,"CSV_VFGE_TMP","Insert",,,"true",
"STP00000613","VFGE_IOT_SYNC_HISTORICAL_STEP_1","Extract","1.0","VFGE_IOT_SYNC_HISTORICAL","SALESFORCE_VRS",,,,,"false",
"STP00000614","VFGE_IOT_SYNC_HISTORICAL_STEP_2","Load","2.0","VFGE_IOT_SYNC_HISTORICAL",,"CSV_VFGE_TMP","Insert",,,"true",
"STP00000615","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_STEP_1","Extract","1.0","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES","CSV_VFGE_TMP",,,,,"false",
"STP00000616","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_STEP_2","Load","2.0","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES",,"SALESFORCE_VRS","Update","Id",,"false",
"STP00000617","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_1","Extract","1.0","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS","CSV_VFGE_INBOX",,,,,"false",
"STP00000618","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_3","Load","3.0","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS",,"SALESFORCE_VRS","Insert",,,"false",
"STP00000619","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_STEP_2","Filter","2.0","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS",,,,,"Discard records where ID is blank.","false",
"STP00000620","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_STEP_2","Load","2.0","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID",,"CSV_VFGE_TMP","Insert",,,"true",
"STP00000621","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_STEP_1","Extract","1.0","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID","SALESFORCE_VRS",,,,,"false",
"STP00000622","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_STEP_1","Extract","1.0","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES","CSV_VFGE_TMP",,,,,"false",
"STP00000623","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_STEP_2","Load","2.0","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES",,"SALESFORCE_VRS","Update","Id",,"false",
"STP00000624","VFGE_IOT_SYNC_DELETE_OLD_DATA_STEP_1","Load","1.0","VFGE_IOT_SYNC_DELETE_OLD_DATA",,"VRS_ORACLE","Execute Call",,"Call Oracle Procedure that truncates the following tables:
  - E2E_SYNC_DEAL__C
  - BASE_CLARITY_DISCOUNT_PERIOD
  - BASE_CLARITY_3RD_PARTY
  - BASE_CLARITY_VF_OPCO","false",
"STP00000625","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_1","Extract","1.0","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL","CSV_VFGE_INBOX",,,,,"false",
"STP00000626","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_STEP_2","Load","2.0","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL",,"VRS_ORACLE","Insert",,,"false",
"STP00000627","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS_STEP_1","Extract","1.0","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS","CSV_VFGE_INBOX",,,,,"false",
"STP00000628","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS_STEP_2","Load","2.0","VFGE_IOT_SYNC_IMPORT_FLAT_DISCOUNT_PERIODS",,"VRS_ORACLE","Insert",,,"false",
"STP00000629","VFGE_OT_SYNC_IMPORT_FLAT_VF_OPCO_STEP_1","Extract","1.0","VFGE_OT_SYNC_IMPORT_FLAT_VF_OPCO","CSV_VFGE_INBOX",,,,,"false",
"STP00000630","VFGE_OT_SYNC_IMPORT_FLAT_VF_OPCO_STEP_2","Load","2.0","VFGE_OT_SYNC_IMPORT_FLAT_VF_OPCO",,"VRS_ORACLE","Insert",,,"false",
"STP00000631","VFGE_IOT_SYNC_IMPORT_FLAT_3RD_PARTY_STEP_1","Extract","1.0","VFGE_IOT_SYNC_IMPORT_FLAT_3RD_PARTY","CSV_VFGE_INBOX",,,,,"false",
"STP00000632","VFGE_IOT_SYNC_IMPORT_FLAT_3RD_PARTY_STEP_2","Load","2.0","VFGE_IOT_SYNC_IMPORT_FLAT_3RD_PARTY",,"VRS_ORACLE","Insert",,,"false",
"STP00000633","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA_STEP_1","Extract","1.0","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA","CSV_VFGE_TMP",,,,,"false",
"STP00000634","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA_STEP_2","Load","2.0","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA",,"SALESFORCE_VRS","Update","Id",,"false",
"STP00000635","VFGE_IOT_SYNC_POPULATE_DEAL","Load","1.0","VFGE_IOT_SYNC_POPULATE_DEAL",,"VRS_ORACLE","Execute Call",,,"false",
"STP00000636","VFGE_IOT_SYNC_3RD_PARTY_DELETE_STEP_1","Extract","1.0","VFGE_IOT_SYNC_3RD_PARTY_DELETE","CSV_VFGE_TMP",,,,,"false",
"STP00000637","VFGE_IOT_SYNC_3RD_PARTY_DELETE_STEP_2","Load","2.0","VFGE_IOT_SYNC_3RD_PARTY_DELETE",,"SALESFORCE_VRS","Delete","Id",,"false",
"STP00000638","VFGE_IOT_SYNC_VF_OPCO_DELETE_STEP_1","Extract","1.0","VFGE_IOT_SYNC_VF_OPCO_DELETE","CSV_VFGE_TMP",,,,,"false",
"STP00000639","VFGE_IOT_SYNC_VF_OPCO_DELETE_STEP_2","Load","2.0","VFGE_IOT_SYNC_VF_OPCO_DELETE",,"SALESFORCE_VRS","Delete","Id",,"false",
"STP00000640","VFGE_IOT_SYNC_PERIOD_DELETE_STEP_1","Extract","1.0","VFGE_IOT_SYNC_PERIOD_DELETE","CSV_VFGE_TMP",,,,,"false",
"STP00000641","VFGE_IOT_SYNC_PERIOD_DELETE_STEP_2","Load","2.0","VFGE_IOT_SYNC_PERIOD_DELETE",,"SALESFORCE_VRS","Delete","Id",,"false",
"STP00000642","VFGE_IOT_SYNC_DEAL_DELETE_STEP_1","Extract","1.0","VFGE_IOT_SYNC_DEAL_DELETE","CSV_VFGE_TMP",,,,,"false",
"STP00000643","VFGE_IOT_SYNC_DEAL_DELETE_STEP_2","Load","2.0","VFGE_IOT_SYNC_DEAL_DELETE",,"SALESFORCE_VRS","Delete",,,"false",
"STP00000644","VFGE_GLL_REPORT_STEP_1","Extract","1.0","VFGA_GLL_REPORT","SALESFORCE_VRS",,,,,"false",
"STP00000645","VFGA_GLL_REPORT_STEP_2","Load","2.0","VFGA_GLL_REPORT",,"CSV_VFGE_UTF8","Insert",,,"true",
"STP00000646","VFGE_IOT_SYNC_DEAL_INSERT_STEP_1","Extract","1.0","VFGE_IOT_SYNC_DEAL_INSERT","VRS_ORACLE",,,,,"false",
"STP00000647","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","Load","2.0","VFGE_IOT_SYNC_DEAL_INSERT",,"SALESFORCE_VRS","Insert",,,"false","10.0"
"STP00000648","VFGE_IOT_SYNC_PERIOD_INSERT_STEP_1","Extract","1.0","VFGE_IOT_SYNC_PERIOD_INSERT","VRS_ORACLE",,,,,"false",
"STP00000649","VFGE_IOT_SYNC_PERIOD_INSERT_STEP_2","Load","2.0","VFGE_IOT_SYNC_PERIOD_INSERT",,"SALESFORCE_VRS","Insert",,,"false","15.0"
"STP00000650","VFGE_IOT_SYNC_1ST_PARTICIPANT_INSERT_STEP_1","Extract","1.0","VFGE_IOT_SYNC_1ST_PARTICIPANT_INSERT","VRS_ORACLE",,,,,"false",
"STP00000651","VFGE_IOT_SYNC_1ST_PARTICIPANT_INSERT_STEP_2","Load","2.0","VFGE_IOT_SYNC_1ST_PARTICIPANT_INSERT",,"SALESFORCE_VRS","Insert",,,"false","15.0"
"STP00000652","VFGE_IOT_SYNC_2ND_PARTICIPANT_INSERT_STEP_1","Extract","1.0","VFGE_IOT_SYNC_2ND_PARTICIPANT_INSERT","VRS_ORACLE",,,,,"false",
"STP00000653","VFGE_IOT_SYNC_2ND_PARTICIPANT_INSERT_STEP_2","Load","2.0","VFGE_IOT_SYNC_2ND_PARTICIPANT_INSERT",,"SALESFORCE_VRS","Insert",,,"false","15.0"
"STP00000654","VFGE_IOT_SYNC_HISTORY_WAITING_SYNC_STEP_1","Extract","1.0","VFGE_IOT_SYNC_HISTORY_WAITING_SYNC","CSV_VFGE_TMP",,,,,"false",
"STP00000655","VFGE_IOT_SYNC_HISTORY_WAITING_SYNC_STEP_2","Load","2.0","VFGE_IOT_SYNC_HISTORY_WAITING_SYNC",,"SALESFORCE_VRS","Update","Id",,"false",
"STP00000656","SYS_PURGE_SERVER_AUDIT_EXTRACT","Extract","1.0","SYS_PURGE_SERVER_AUDIT","SYS_SALESFORCE",,,,,"false",
"STP00000657","SYS_PURGE_SERVER_AUDIT_LOAD","Load","2.0","SYS_PURGE_SERVER_AUDIT",,"SYS_SALESFORCE","Delete","Id",,"false",
"STP00000658","SYS_PURGE_SERVER_LOGS_EXTRACT","Extract","1.0","SYS_PURGE_SERVER_LOGS","SYS_FILESYSTEM_LOGS",,,,,"false",
"STP00000659","SYS_PURGE_SERVER_LOGS_FILTER","Filter","2.0","SYS_PURGE_SERVER_LOGS",,,,,,"false",
"STP00000660","SYS_PURGE_SERVER_LOGS_FILE","File","3.0","SYS_PURGE_SERVER_LOGS",,"SYS_FILESYSTEM_ARCHIVED_LOGS",,,,"false",
